Time,Channel A,Channel B
(ms),(V),(V)

-0.00001719,-1.29352200,0.08612204
-0.00000119,-1.35888300,0.08612204
0.00001481,-1.42470500,0.08612204
0.00003081,-1.49083400,0.34448820
0.00004681,-1.55742500,7.32252700
0.00006281,-1.62401600,3.01519400
0.00007881,-1.69060700,4.13508800
0.00009481,-1.75689000,1.46438200
0.00011081,-1.82286500,-0.17224410
0.00012681,-1.88838000,0.17224410
0.00014281,-1.95327900,0.00000000
0.00015881,-2.01740900,0.08612204
0.00017481,-2.08061600,0.08612204
0.00019081,-2.14274700,0.08612204
0.00020681,-2.20380200,0.08612204
0.00022281,-2.26347200,0.08612204
0.00023881,-2.32175800,0.08612204
0.00025481,-2.37850600,0.08612204
0.00027081,-2.43356300,0.08612204
0.00028681,-2.48692800,0.08612204
0.00030281,-2.53844700,0.00000000
0.00031881,-2.58812100,0.08612204
0.00033481,-2.63579600,0.00000000
0.00035081,-2.68147100,0.08612204
0.00036681,-2.72514800,0.08612204
0.00038281,-2.76651700,0.08612204
0.00039881,-2.80573300,0.08612204
0.00041481,-2.84279700,0.08612204
0.00043081,-2.87770700,0.08612204
0.00044681,-2.91031000,0.08612204
0.00046281,-2.94076000,0.08612204
0.00047881,-2.96905800,0.08612204
0.00049481,-2.99504800,0.08612204
0.00051081,-3.01888500,0.08612204
0.00052681,-3.04072300,0.08612204
0.00054281,-3.06040800,0.08612204
0.00055881,-3.07809400,0.08612204
0.00057481,-3.09378100,0.08612204
0.00059081,-3.10762200,0.08612204
0.00060681,-3.11961700,0.08612204
0.00062281,-3.13007500,0.08612204
0.00063881,-3.13868700,0.08612204
0.00065481,-3.14576100,0.08612204
0.00067081,-3.15145200,0.08612204
0.00068681,-3.15575800,0.08612204
0.00070281,-3.15883400,0.00000000
0.00071881,-3.16067900,0.08612204
0.00073481,-3.16160200,0.08612204
0.00075081,-3.16160200,0.08612204
0.00076681,-3.16083300,0.08612204
0.00078281,-3.15929500,0.08612204
0.00079881,-3.15714200,0.08612204
0.00081481,-3.15437400,0.08612204
0.00083081,-3.15129800,0.08612204
0.00084681,-3.14806800,0.08612204
0.00086281,-3.14453100,0.08612204
0.00087881,-3.14099400,0.00000000
0.00089481,-3.13714900,0.08612204
0.00091081,-3.13238200,0.08612204
0.00092681,-3.12684500,0.08612204
0.00094281,-3.12084800,0.08612204
0.00095881,-3.11454200,0.08612204
0.00097481,-3.10839100,0.08612204
0.00099081,-3.10223900,0.08612204
0.00100681,-3.09654900,0.08612204
0.00102281,-3.09101200,0.08612204
0.00103881,-3.08578400,0.08612204
0.00105481,-3.08070900,0.08612204
0.00107081,-3.07594100,0.08612204
0.00108681,-3.07132700,0.08612204
0.00110281,-3.06686800,0.08612204
0.00111881,-3.06271500,0.08612204
0.00113481,-3.05871700,0.08612204
0.00115081,-3.05502600,0.08612204
0.00116681,-3.05133500,0.08612204
0.00118281,-3.04795100,0.08612204
0.00119881,-3.04472200,0.08612204
0.00121481,-3.04164600,0.08612204
0.00123081,-3.03887800,0.08612204
0.00124681,-3.03611000,0.08612204
0.00126281,-3.03364900,0.08612204
0.00127881,-3.03118800,0.08612204
0.00129481,-3.02903500,0.08612204
0.00131081,-3.02703600,0.08612204
0.00132681,-3.02503700,0.08612204
0.00134281,-3.02319100,0.08612204
0.00135881,-3.02150000,0.08612204
0.00137481,-3.01980800,0.08612204
0.00139081,-3.01827000,0.08612204
0.00140681,-3.01688600,0.08612204
0.00142281,-3.01565600,0.08612204
0.00143881,-3.01427200,0.08612204
0.00145481,-3.01319500,0.08612204
0.00147081,-3.01211900,0.08612204
0.00148681,-3.01104200,0.08612204
0.00150281,-3.00996600,0.08612204
0.00151881,-3.00904300,0.08612204
0.00153481,-3.00812000,0.08612204
0.00155081,-3.00735100,0.08612204
0.00156681,-3.00658200,0.08612204
0.00158281,-3.00581300,0.08612204
0.00159881,-3.00504400,0.08612204
0.00161481,-3.00427500,0.08612204
0.00163081,-3.00366000,0.08612204
0.00164681,-3.00304500,0.08612204
0.00166281,-3.00243000,0.08612204
0.00167881,-3.00181500,0.08612204
0.00169481,-3.00119900,0.08612204
0.00171081,-3.00073800,0.08612204
0.00172681,-3.00012300,0.08612204
0.00174281,-2.99950800,0.08612204
0.00175881,-2.99904700,0.08612204
0.00177481,-2.99843100,0.08612204
0.00179081,-2.99797000,0.08612204
0.00180681,-2.99750900,0.08612204
0.00182281,-2.99704700,0.08612204
0.00183881,-2.99658600,0.08612204
0.00185481,-2.99612500,0.08612204
0.00187081,-2.99550900,0.08612204
0.00188681,-2.99504800,0.08612204
